"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 2 with Ref 3","Raw","GA","XGBoost",3,0.1,200,0.374054947617116,0.166734025926966,0.119776264681401
"Dataset 2 with Ref 3","Raw","PCA","XGBoost",3,0.1,200,0.486307751093719,0.151045446573573,0.110302691640681
"Dataset 2 with Ref 3","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.41560615145553,0.161104973973501,0.114786755627166
"Dataset 2 with Ref 3","SNV","None","XGBoost",3,0.05,100,0.611338036383669,0.131383900638173,0.0897106959932694
"Dataset 2 with Ref 3","SNV","VIP","XGBoost",3,0.05,100,0.646526951533512,0.125295156778531,0.0859391173523883
"Dataset 2 with Ref 3","SNV","GA","XGBoost",3,0.05,100,0.669232499650578,0.121204165792364,0.0816724849355124
"Dataset 2 with Ref 3","SNV","PCA","XGBoost",3,0.05,100,0.638661562779556,0.126681504389185,0.0922468419273239
"Dataset 2 with Ref 3","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.552272970518407,0.141014180560918,0.0967392939501663
"Dataset 2 with Ref 3","1st_Der","None","XGBoost",3,0.05,100,0.496545901433223,0.149532664344084,0.109464870531896
"Dataset 2 with Ref 3","1st_Der","VIP","XGBoost",3,0.05,100,0.512901184019401,0.147083741249755,0.1058572268572
"Dataset 2 with Ref 3","1st_Der","GA","XGBoost",3,0.05,100,0.438905645157815,0.15786072056166,0.113451519823178
"Dataset 2 with Ref 3","1st_Der","PCA","XGBoost",3,0.05,100,0.55625016542715,0.140386463329904,0.100925242339103
"Dataset 2 with Ref 3","1st_Der","Kernel_PCA","XGBoost",3,0.1,100,0.541768765281328,0.142658770143198,0.100392270469115
"Dataset 2 with Ref 3","2nd_Der","None","XGBoost",3,0.05,100,0.543781433434073,0.142345128561008,0.0993874826533048
"Dataset 2 with Ref 3","2nd_Der","VIP","XGBoost",3,0.05,100,0.563267689635351,0.139271993734707,0.0968162610969819
"Dataset 2 with Ref 3","2nd_Der","GA","XGBoost",3,0.05,100,0.0484254747022921,0.205578425093057,0.142946262524601
"Dataset 2 with Ref 3","2nd_Der","PCA","XGBoost",3,0.1,100,0.553053536940244,0.140891205016306,0.096225443651912
"Dataset 2 with Ref 3","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.60633954880338,0.132226049915023,0.0917482967214161
"Dataset 2 with Ref 3","EMSC","None","XGBoost",3,0.05,100,0.567652924623276,0.138571013678881,0.0983665383116564
"Dataset 2 with Ref 3","EMSC","VIP","XGBoost",3,0.05,100,0.634911310762946,0.127337207141786,0.0910576536014086
"Dataset 2 with Ref 3","EMSC","GA","XGBoost",3,0.05,100,0.525307684702304,0.1451985340633,0.10012385555525
"Dataset 2 with Ref 3","EMSC","PCA","XGBoost",3,0.05,100,0.460618789603675,0.154776149429496,0.107909945306611
"Dataset 2 with Ref 3","EMSC","Kernel_PCA","XGBoost",3,0.05,100,0.542554207002052,0.142536453943287,0.0983754228053619
"Dataset 2 with Ref 3","RNV","None","XGBoost",3,0.05,100,0.392448656184995,0.164265978139574,0.117560804243617
"Dataset 2 with Ref 3","RNV","VIP","XGBoost",3,0.05,200,0.397078998837281,0.163638819192299,0.121579849181249
"Dataset 2 with Ref 3","RNV","GA","XGBoost",3,0.05,100,0.328734410296619,0.172664606686823,0.1243093816298
"Dataset 2 with Ref 3","RNV","PCA","XGBoost",3,0.05,100,0.480715538515048,0.151865384794856,0.110627772434303
"Dataset 2 with Ref 3","RNV","Kernel_PCA","XGBoost",3,0.05,100,0.190621274892687,0.18959724546545,0.130334427428513
"Dataset 2 with Ref 4","Raw","None","XGBoost",3,0.05,100,0.405924139160967,0.140733899579862,0.102251307709394
"Dataset 2 with Ref 4","Raw","VIP","XGBoost",3,0.05,100,0.403427183221512,0.141029348271833,0.10186097692327
"Dataset 2 with Ref 4","Raw","GA","XGBoost",3,0.05,100,0.414276133320826,0.139741122990225,0.102210481190718
"Dataset 2 with Ref 4","Raw","PCA","XGBoost",3,0.1,200,0.552752985257416,0.12211007384506,0.0919884309265473
"Dataset 2 with Ref 4","Raw","Kernel_PCA","XGBoost",3,0.05,100,0.442202231890918,0.136369156670727,0.0967526852127332
